"yyyy","mm","day","HH_UTC","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,7,25,18,0,1.84,0.0067,-999,1.68036,-13.9327,0.797299818136189,0.224434,175.261
2021,7,25,18,30,1.84,0.0067,-999,1.43267,-11.9833,1.02917928467299,0.201138,210.217
2021,7,25,19,0,1.84,0.0067,-999,1.22005,-9.76431,0.776981981773065,0.18631,185.646
2021,7,25,19,30,1.84,0.0067,-999,0.406678,-23.3649,0.837914076740569,0.167403,126.479
2021,7,25,20,0,1.84,0.0067,-999,1.52285,-107.085,0.738356282562829,0.243953,175.271
2021,7,25,20,30,1.84,0.0067,-999,1.91479,-115.357,1.03323279080757,0.280947,177.774
2021,7,25,21,0,1.84,0.0067,-999,0.659173,-54.2988,0.659304937035967,0.183118,127.443
2021,7,25,21,30,1.84,0.0067,-999,0.404823,-8.61723,0.509726397197555,0.105593,116.097
2021,7,25,22,0,1.84,0.0067,-999,0.164719,-4.59201,0.446133388125121,0.0630794,112.356
2021,7,25,22,30,1.84,0.0067,-999,0.593301,9.95322,0.159620487406849,0.0692426,169.063
2021,7,25,23,0,1.84,0.0067,-999,0.666168,14.5335,0.263122214949631,0.0928431,163.881
2021,7,25,23,30,1.84,0.0067,-999,0.545173,3.91257,0.18585908640688,0.0536299,160.601
2021,7,26,0,0,1.84,0.0067,-999,0.517994,4.09134,0.20088504175274,0.0555381,143.059
2021,7,26,0,30,1.84,0.0067,-999,0.579759,8.26258,0.387681570364133,0.0872128,146.853
2021,7,26,1,0,1.84,0.0067,-999,0.248671,-12.3101,0.412379679421768,0.064672,132.602
2021,7,26,1,30,1.84,0.0067,-999,0.363511,8.90988,0.180072763070932,0.0606748,140.43
2021,7,26,2,0,1.84,0.0067,-999,0.299019,1.32845,0.120064565963485,0.0340344,123.856
2021,7,26,2,30,1.84,0.0067,-999,0.383117,6.77628,0.29675933009764,0.0459959,144.065
2021,7,26,3,0,1.84,0.0067,-999,0.365372,3.20827,0.260184165544331,0.0386753,148.954
2021,7,26,3,30,1.84,0.0067,-999,0.176874,12.9742,0.162820453260639,0.0324588,117.734
2021,7,26,4,0,1.84,0.0067,-999,0.141801,23.0646,0.234278253365523,0.0556124,116.998
2021,7,26,4,30,1.84,0.0067,-999,0.18436,4.05315,0.384543885661962,0.045124,107.923
2021,7,26,5,0,1.84,0.0067,-999,0.299083,2.19288,0.161844987565263,0.0335354,135.457
2021,7,26,5,30,1.84,0.0067,-999,0.307466,3.52059,0.151996052580322,0.0394617,151.825
2021,7,26,6,0,1.84,0.0067,-999,0.454317,5.90478,0.148754495730381,0.0563888,150.7
2021,7,26,6,30,1.84,0.0067,-999,0.17793,5.04783,0.200356681944975,0.0405957,120.145
2021,7,26,7,0,1.84,0.0067,-999,0.268016,31.331,0.196773219722604,0.0555344,123.074
2021,7,26,7,30,1.84,0.0067,-999,0.266118,-13.053,0.192211342017062,0.0670038,119.184
2021,7,26,8,0,1.84,0.0067,-999,1.00273,530.488,0.412911612818046,0.122342,178.1
2021,7,26,8,30,1.84,0.0067,-999,1.20247,-49.9422,0.455729086190469,0.18181,185.975
2021,7,26,9,0,1.84,0.0067,-999,1.24788,-12.9173,0.853496338597888,0.171897,213.334
2021,7,26,9,30,1.84,0.0067,-999,1.46999,-7.0684,0.765355472966647,0.156007,221.795
2021,7,26,10,0,1.84,0.0067,-999,1.29019,-5.90116,0.815372920815991,0.153557,215.058
2021,7,26,10,30,1.84,0.0067,-999,1.61411,-4.50257,0.848862768649916,0.156935,196.861
2021,7,26,11,0,1.84,0.0067,-999,1.97209,-20.4526,1.00156377730028,0.259375,205.385
2021,7,26,11,30,1.84,0.0067,-999,1.99674,-21.7259,1.19123885094468,0.26321,211.482
2021,7,26,12,0,1.84,0.0067,-999,1.87475,-13.3967,1.39015107092719,0.250812,216.75
2021,7,26,12,30,1.84,0.0067,-999,1.43872,-5.97637,0.904467799316261,0.200008,228.564
2021,7,26,13,0,1.84,0.0067,-999,1.78851,-16.1365,1.29074784524321,0.273393,212.307
2021,7,26,13,30,1.84,0.0067,-999,1.60524,-11.8074,1.34947397159041,0.259437,222.022
2021,7,26,14,0,1.84,0.0067,-999,2.08342,-18.2229,1.75435173212215,0.318681,217.456
2021,7,26,14,30,1.84,0.0067,-999,2.40346,-20.9502,1.25611305223694,0.326346,207.824
2021,7,26,15,0,1.84,0.0067,-999,1.9708,-18.5355,1.08913268245885,0.3046,223.684
2021,7,26,15,30,1.84,0.0067,-999,1.8878,-21.2519,1.38973018964114,0.315811,218.627
2021,7,26,16,0,1.84,0.0067,-999,1.93126,-17.6924,1.53439238788518,0.306153,227.107
2021,7,26,16,30,1.84,0.0067,-999,1.42575,-13.6982,1.36234356900159,0.274437,233.466
2021,7,26,17,0,1.84,0.0067,-999,1.89348,-14.8128,1.22809201609651,0.264501,224.111
2021,7,26,17,30,1.84,0.0067,-999,1.91785,-18.9015,1.17193003204116,0.274442,217.459
2021,7,26,18,0,1.84,0.0067,-999,1.98105,-27.6562,1.15688806718714,0.246265,192.387
2021,7,26,18,30,1.84,0.0067,-999,1.86515,-21.4084,1.02268763559554,0.228367,209.886
2021,7,26,19,0,1.84,0.0067,-999,1.4394,-8.72344,0.790876096490468,0.200435,222.528
2021,7,26,19,30,1.84,0.0067,-999,1.57431,-16.2434,0.962251006754475,0.225709,216.375
2021,7,26,20,0,1.84,0.0067,-999,1.52313,-16.2443,0.798908004716438,0.207394,213.731
2021,7,26,20,30,1.84,0.0067,-999,1.30921,-19.6431,0.648532188869604,0.174762,204.145
2021,7,26,21,0,1.84,0.0067,-999,1.12129,-20.2393,0.519995192285467,0.152345,194.361
2021,7,26,21,30,1.84,0.0067,-999,1.43185,-38.887,0.456013157704907,0.156463,202.446
2021,7,26,22,0,1.84,0.0067,-999,1.03998,45.5461,0.304624851251502,0.110179,180.224
2021,7,26,22,30,1.84,0.0067,-999,1.44596,-56.5192,1.41331878923334,0.259084,215.185
2021,7,26,23,0,1.84,0.0067,-999,-0.328446,-10.7226,0.729628672682208,0.195548,277.949
2021,7,26,23,30,1.84,0.0067,-999,0.0543081,-9.3117,0.444408595776454,0.142024,268.347
2021,7,27,0,0,1.84,0.0067,-999,1.02348,-9.11924,0.55813260073212,0.146521,227.901
2021,7,27,0,30,1.84,0.0067,-999,1.05344,-4.38405,0.518956645588049,0.0999452,213.131
2021,7,27,1,0,1.84,0.0067,-999,1.35862,-32.8971,0.501980079286021,0.193675,221.63
2021,7,27,1,30,1.84,0.0067,-999,1.62543,-45.6037,0.630545795323385,0.224426,214.661
2021,7,27,2,0,1.84,0.0067,-999,1.28375,-28.8016,0.571958914608383,0.195557,224.885
2021,7,27,2,30,1.84,0.0067,-999,1.42665,-28.7394,0.586157828575205,0.204766,226.523
2021,7,27,3,0,1.84,0.0067,-999,1.35642,-47.4836,0.716939327976922,0.238686,225.512
2021,7,27,3,30,1.84,0.0067,-999,1.43415,-32.4993,0.567027336201704,0.203526,220.459
2021,7,27,4,0,1.84,0.0067,-999,1.43566,-18.5339,0.554176867074042,0.154783,221.576
2021,7,27,4,30,1.84,0.0067,-999,1.22012,-16.5266,0.527702567740579,0.144149,226.532
2021,7,27,5,0,1.84,0.0067,-999,1.16881,-27.0058,0.513672074382091,0.170085,218.58
2021,7,27,5,30,1.84,0.0067,-999,1.59642,-23.5077,0.603269425712923,0.168097,219.022
2021,7,27,6,0,1.84,0.0067,-999,1.41557,-36.8056,0.777120325303617,0.208944,227.409
2021,7,27,6,30,1.84,0.0067,-999,1.39705,-30.3977,0.677527121228368,0.201429,224.392
2021,7,27,7,0,1.84,0.0067,-999,1.51422,-26.087,0.570943955218023,0.205217,220.145
2021,7,27,7,30,1.84,0.0067,-999,1.72576,-39.21,0.821151630333887,0.26287,226.195
